pagina_original;url_scroll;decision;pagina_nueva;tipo;responsable;estado
soporte-ibermutua-digital;https://soporte-ibermutua-digital.scroll.site/soporte-ibermutua-digital;Reorganizar (portada de tareas);/personas;Portada;(por asignar);Borrador (paquete 1)
preguntas-sobre-historia-clinica-y-asistencias-medicas;https://soporte-ibermutua-digital.scroll.site/soporte-ibermutua-digital/preguntas-sobre-historia-clinica-y-asistencias-medicas;Pendiente de decidir;/personas/preguntas-frecuentes/preguntas-sobre-historia-clinica-y-asistencias-medicas;Portada de grupo;(por asignar);Importada
tu-historia-clinica-y-asistencias-medicas;https://soporte-ibermutua-digital.scroll.site/soporte-ibermutua-digital/tu-historia-clinica-y-asistencias-medicas;Pendiente de decidir;/personas/tu-historia-clinica-y-asistencias-medicas;Portada de grupo;(por asignar);Importada
como-consultar-tu-historia-clinica;https://soporte-ibermutua-digital.scroll.site/soporte-ibermutua-digital/como-consultar-tu-historia-clinica;Pendiente de decidir;/personas/tu-historia-clinica-y-asistencias-medicas/como-consultar-tu-historia-clinica;Tarea;(por asignar);Importada
consulta-de-citas-pendientes;https://soporte-ibermutua-digital.scroll.site/soporte-ibermutua-digital/consulta-de-citas-pendientes;Mantener y reescribir;/personas/tu-historia-clinica-y-asistencias-medicas/consultar-tus-citas;Tarea;(por asignar);Borrador (paquete 1)
consulta-del-historico-de-episodios-medicos;https://soporte-ibermutua-digital.scroll.site/soporte-ibermutua-digital/consulta-del-historico-de-episodios-medicos;Pendiente de decidir;/personas/tu-historia-clinica-y-asistencias-medicas/consulta-del-historico-de-episodios-medicos;Tarea;(por asignar);Importada
consulta-y-acceso-a-documentacion-administrativa;https://soporte-ibermutua-digital.scroll.site/soporte-ibermutua-digital/consulta-y-acceso-a-documentacion-administrativa;Pendiente de decidir;/personas/tu-historia-clinica-y-asistencias-medicas/consulta-y-acceso-a-documentacion-administrativa;Tarea;(por asignar);Importada
generacion-y-descarga-del-informe-de-tu-historia-clinica;https://soporte-ibermutua-digital.scroll.site/soporte-ibermutua-digital/generacion-y-descarga-del-informe-de-tu-historia-clinica;Pendiente de decidir;/personas/tu-historia-clinica-y-asistencias-medicas/generacion-y-descarga-del-informe-de-tu-historia-clinica;Tarea;(por asignar);Importada
justificantes-de-asistencia;https://soporte-ibermutua-digital.scroll.site/soporte-ibermutua-digital/justificantes-de-asistencia;Pendiente de decidir;/personas/tu-historia-clinica-y-asistencias-medicas/justificantes-de-asistencia;Tarea;(por asignar);Importada
solicitud-de-segunda-opinion-medica;https://soporte-ibermutua-digital.scroll.site/soporte-ibermutua-digital/solicitud-de-segunda-opinion-medica;Pendiente de decidir;/personas/tu-historia-clinica-y-asistencias-medicas/solicitud-de-segunda-opinion-medica;Tarea;(por asignar);Importada
visualizacion-de-pruebas-diagnosticas;https://soporte-ibermutua-digital.scroll.site/soporte-ibermutua-digital/visualizacion-de-pruebas-diagnosticas;Pendiente de decidir;/personas/tu-historia-clinica-y-asistencias-medicas/visualizacion-de-pruebas-diagnosticas;Tarea;(por asignar);Importada
como-descargar-un-justificante-de-asistencia;https://soporte-ibermutua-digital.scroll.site/soporte-ibermutua-digital/como-descargar-un-justificante-de-asistencia;Pendiente de decidir;/personas/preguntas-frecuentes/preguntas-sobre-historia-clinica-y-asistencias-medicas/como-descargar-un-justificante-de-asistencia;Pregunta frecuente;(por asignar);Importada
cuando-estan-disponibles-en-ibermutua-digital-las-pruebas-diagnosticas;https://soporte-ibermutua-digital.scroll.site/soporte-ibermutua-digital/cuando-estan-disponibles-en-ibermutua-digital-las-pruebas-diagnosticas;Pendiente de decidir;/personas/preguntas-frecuentes/preguntas-sobre-historia-clinica-y-asistencias-medicas/cuando-estan-disponibles-en-ibermutua-digital-las-pruebas-diagnosticas;Pregunta frecuente;(por asignar);Importada
puedo-cambiar-las-citas-desde-ibermutua-digital;https://soporte-ibermutua-digital.scroll.site/soporte-ibermutua-digital/puedo-cambiar-las-citas-desde-ibermutua-digital;"Mantener con URL propia; limitación visible en la tarea";/personas/preguntas-frecuentes/preguntas-sobre-historia-clinica-y-asistencias-medicas/puedo-cambiar-las-citas-desde-ibermutua-digital;Concepto;(por asignar);Importada
que-diferencia-hay-entre-informe-de-historia-clinica-e-informe-de-episodio-medico;https://soporte-ibermutua-digital.scroll.site/soporte-ibermutua-digital/que-diferencia-hay-entre-informe-de-historia-clinica-e-informe-de-episodio-medico;Pendiente de decidir;/personas/preguntas-frecuentes/preguntas-sobre-historia-clinica-y-asistencias-medicas/que-diferencia-hay-entre-informe-de-historia-clinica-e-informe-de-episodio-medico;Pregunta frecuente;(por asignar);Importada
que-es-la-segunda-opinion-medica;https://soporte-ibermutua-digital.scroll.site/soporte-ibermutua-digital/que-es-la-segunda-opinion-medica;Pendiente de decidir;/personas/preguntas-frecuentes/preguntas-sobre-historia-clinica-y-asistencias-medicas/que-es-la-segunda-opinion-medica;Pregunta frecuente;(por asignar);Importada
que-tipo-de-documentacion-se-incluye-en-la-historia-clinica;https://soporte-ibermutua-digital.scroll.site/soporte-ibermutua-digital/que-tipo-de-documentacion-se-incluye-en-la-historia-clinica;Pendiente de decidir;/personas/preguntas-frecuentes/preguntas-sobre-historia-clinica-y-asistencias-medicas/que-tipo-de-documentacion-se-incluye-en-la-historia-clinica;Pregunta frecuente;(por asignar);Importada
que-tipo-de-pruebas-diagnosticas-puedo-visualizar;https://soporte-ibermutua-digital.scroll.site/soporte-ibermutua-digital/que-tipo-de-pruebas-diagnosticas-puedo-visualizar;Pendiente de decidir;/personas/preguntas-frecuentes/preguntas-sobre-historia-clinica-y-asistencias-medicas/que-tipo-de-pruebas-diagnosticas-puedo-visualizar;Pregunta frecuente;(por asignar);Importada
